player_name,nationality,type,teams,year,sponsored_by,sold_price
Robin Uthappa,Indian,Batsman,Chennai Super Kings,2022,TATA,20000000
Dwayne Bravo,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,44000000
Ambati Rayudu,Indian,Wicket Keeper,Chennai Super Kings,2022,TATA,67500000
Deepak Chahar,Indian,Bowler,Chennai Super Kings,2022,TATA,140000000
C.Hari Nishaanth,Indian,Batsman,Chennai Super Kings,2022,TATA,2000000
N. Jagadeesan,Indian,Wicket Keeper,Chennai Super Kings,2022,TATA,2000000
K.M. Asif,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Tushar Deshpande,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Shivam Dube,Indian,All-Rounder,Chennai Super Kings,2022,TATA,40000000
Chris Jordan,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,36000000
Maheesh Theekshana,Overseas,Bowler,Chennai Super Kings,2022,TATA,7000000
Rajvardhan Hangargekar,Indian,All-Rounder,Chennai Super Kings,2022,TATA,15000000
Simarjeet Singh,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Devon Conway,Overseas,Batsman,Chennai Super Kings,2022,TATA,10000000
Dwaine Pretorius,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,5000000
Mitchell Santner,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,19000000
Adam Milne,Overseas,Bowler,Chennai Super Kings,2022,TATA,19000000
Subhranshu Senapati,Indian,Batsman,Chennai Super Kings,2022,TATA,2000000
Mukesh Choudhary,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Prashant Solanki,Indian,Bowler,Chennai Super Kings,2022,TATA,12000000
K.Bhagath Varma,Indian,All-Rounder,Chennai Super Kings,2022,TATA,2000000
David Warner,Overseas,Batsman,Delhi Capitals,2022,TATA,62500000
Mitchell Marsh,Overseas,All-Rounder,Delhi Capitals,2022,TATA,65000000
Mustafizur Rahman,Overseas,Bowler,Delhi Capitals,2022,TATA,20000000
Shardul Thakur,Indian,Bowler,Delhi Capitals,2022,TATA,107500000
Kuldeep Yadav,Indian,Bowler,Delhi Capitals,2022,TATA,20000000
Ashwin Hebbar,Indian,Batsman,Delhi Capitals,2022,TATA,2000000
Sarfaraz Khan,Indian,All-Rounder,Delhi Capitals,2022,TATA,2000000
Kamlesh Nagarkoti,Indian,All-Rounder,Delhi Capitals,2022,TATA,11000000
K.S. Bharat,Indian,Wicket Keeper,Delhi Capitals,2022,TATA,20000000
Mandeep Singh,Indian,Batsman,Delhi Capitals,2022,TATA,11000000
Syed Khaleel Ahmed,Indian,Bowler,Delhi Capitals,2022,TATA,52500000
Lungisani Ngidi,Overseas,Bowler,Delhi Capitals,2022,TATA,5000000
Chetan Sakariya,Indian,Bowler,Delhi Capitals,2022,TATA,42000000
Yash Dhull,Indian,All-Rounder,Delhi Capitals,2022,TATA,5000000
Vicky Ostwal,Indian,All-Rounder,Delhi Capitals,2022,TATA,2000000
Ripal Patel,Indian,All-Rounder,Delhi Capitals,2022,TATA,2000000
Lalit Yadav,Indian,All-Rounder,Delhi Capitals,2022,TATA,6500000
Rovman Powell,Overseas,Batsman,Delhi Capitals,2022,TATA,28000000
Tim Seifert,Overseas,Wicket Keeper,Delhi Capitals,2022,TATA,5000000
Pravin Dubey,Indian,All-Rounder,Delhi Capitals,2022,TATA,5000000
Mohammad Shami,Indian,Bowler,Gujarat Titans,2022,TATA,62500000
David Miller,Overseas,Batsman,Gujarat Titans,2022,TATA,30000000
Jason Roy,Overseas,Batsman,Gujarat Titans,2022,TATA,20000000
Wriddhiman Saha,Indian,Wicket Keeper,Gujarat Titans,2022,TATA,19000000
Matthew Wade,Overseas,Wicket Keeper,Gujarat Titans,2022,TATA,24000000
Lockie Ferguson,Overseas,Bowler,Gujarat Titans,2022,TATA,100000000
Abhinav Sadarangani,Indian,Batsman,Gujarat Titans,2022,TATA,26000000
Rahul Tewatia,Indian,All-Rounder,Gujarat Titans,2022,TATA,90000000
Noor Ahmad,Overseas,Bowler,Gujarat Titans,2022,TATA,3000000
R. Sai Kishore,Indian,Bowler,Gujarat Titans,2022,TATA,30000000
Dominic Drakes,Overseas,All-Rounder,Gujarat Titans,2022,TATA,11000000
Vijay Shankar,Indian,All-Rounder,Gujarat Titans,2022,TATA,14000000
Jayant Yadav,Indian,All-Rounder,Gujarat Titans,2022,TATA,17000000
Darshan Nalkande,Indian,All-Rounder,Gujarat Titans,2022,TATA,2000000
Yash Dayal,Indian,Bowler,Gujarat Titans,2022,TATA,32000000
B. Sai Sudharsan,Indian,All-Rounder,Gujarat Titans,2022,TATA,2000000
Gurkeerat Singh,Indian,All-Rounder,Gujarat Titans,2022,TATA,5000000
Alzarri Joseph,Overseas,Bowler,Gujarat Titans,2022,TATA,24000000
Varun Aaron,Indian,Bowler,Gujarat Titans,2022,TATA,5000000
Pradeep Sangwan,Indian,All-Rounder,Gujarat Titans,2022,TATA,2000000
Pat Cummins,Overseas,All-Rounder,Kolkata Knight Riders,2022,TATA,72500000
Shreyas Iyer,Indian,Batsman,Kolkata Knight Riders,2022,TATA,122500000
Mohammad Nabi,Overseas,All-Rounder,Kolkata Knight Riders,2022,TATA,10000000
Nitish Rana,Indian,All-Rounder,Kolkata Knight Riders,2022,TATA,80000000
Sam Billings,Overseas,Wicket Keeper,Kolkata Knight Riders,2022,TATA,20000000
Umesh Yadav,Indian,Bowler,Kolkata Knight Riders,2022,TATA,20000000
Shivam Mavi,Indian,All-Rounder,Kolkata Knight Riders,2022,TATA,72500000
Sheldon Jackson,Indian,Wicket Keeper,Kolkata Knight Riders,2022,TATA,6000000
Ajinkya Rahane,Indian,Batsman,Kolkata Knight Riders,2022,TATA,10000000
Rinku Singh,Indian,Batsman,Kolkata Knight Riders,2022,TATA,5500000
Anukul Roy,Indian,All-Rounder,Kolkata Knight Riders,2022,TATA,2000000
Alex Hales,Overseas,Batsman,Kolkata Knight Riders,2022,TATA,15000000
Rasikh Dar,Indian,Bowler,Kolkata Knight Riders,2022,TATA,2000000
Tim Southee,Overseas,Bowler,Kolkata Knight Riders,2022,TATA,15000000
Baba Indrajith,Indian,Wicket Keeper,Kolkata Knight Riders,2022,TATA,2000000
Chamika Karunaratne,Overseas,All-Rounder,Kolkata Knight Riders,2022,TATA,5000000
Abhijeet Tomar,Indian,Batsman,Kolkata Knight Riders,2022,TATA,4000000
Aman Khan,Indian,All-Rounder,Kolkata Knight Riders,2022,TATA,2000000
Ramesh Kumar,Indian,Batsman,Kolkata Knight Riders,2022,TATA,2000000
Pratham Singh,Indian,Batsman,Kolkata Knight Riders,2022,TATA,2000000
Ashok Sharma,Indian,Bowler,Kolkata Knight Riders,2022,TATA,5500000
Quinton De Kock,Overseas,Wicket Keeper,Lucknow Super Giants,2022,TATA,67500000
Manish Pandey,Indian,Batsman,Lucknow Super Giants,2022,TATA,46000000
Jason Holder,Overseas,All-Rounder,Lucknow Super Giants,2022,TATA,87500000
Deepak Hooda,Indian,All-Rounder,Lucknow Super Giants,2022,TATA,57500000
Krunal Pandya,Indian,All-Rounder,Lucknow Super Giants,2022,TATA,82500000
Mark Wood,Overseas,Bowler,Lucknow Super Giants,2022,TATA,75000000
Avesh Khan,Indian,Bowler,Lucknow Super Giants,2022,TATA,100000000
Ankit Singh Rajpoot,Indian,Bowler,Lucknow Super Giants,2022,TATA,5000000
K. Gowtham,Indian,All-Rounder,Lucknow Super Giants,2022,TATA,9000000
Dushmanta Chameera,Overseas,Bowler,Lucknow Super Giants,2022,TATA,20000000
Shahbaz Nadeem,Indian,Bowler,Lucknow Super Giants,2022,TATA,5000000
Manan Vohra,Indian,Batsman,Lucknow Super Giants,2022,TATA,2000000
Evin Lewis,Overseas,Batsman,Lucknow Super Giants,2022,TATA,20000000
Mohsin Khan,Indian,Bowler,Lucknow Super Giants,2022,TATA,2000000
Mayank Yadav,Indian,Bowler,Lucknow Super Giants,2022,TATA,2000000
Ayush Badoni,Indian,All-Rounder,Lucknow Super Giants,2022,TATA,2000000
Kyle Mayers,Overseas,All-Rounder,Lucknow Super Giants,2022,TATA,5000000
Karan Sharma,Indian,All-Rounder,Lucknow Super Giants,2022,TATA,2000000
Ishan Kishan,Indian,Wicket Keeper,Mumbai Indians,2022,TATA,152500000
Dewald Brevis,Overseas,Batsman,Mumbai Indians,2022,TATA,30000000
Anmolpreet Singh,Indian,Batsman,Mumbai Indians,2022,TATA,2000000
Basil Thampi,Indian,Bowler,Mumbai Indians,2022,TATA,3000000
Murugan Ashwin,Indian,Bowler,Mumbai Indians,2022,TATA,16000000
Jaydev Unadkat,Indian,Bowler,Mumbai Indians,2022,TATA,13000000
Mayank Markande,Indian,Bowler,Mumbai Indians,2022,TATA,6500000
N. Tilak Varma,Indian,All-Rounder,Mumbai Indians,2022,TATA,17000000
Sanjay Yadav,Indian,All-Rounder,Mumbai Indians,2022,TATA,5000000
Jofra Archer,Overseas,All-Rounder,Mumbai Indians,2022,TATA,80000000
Daniel Sams,Overseas,All-Rounder,Mumbai Indians,2022,TATA,26000000
Tymal Mills,Overseas,Bowler,Mumbai Indians,2022,TATA,15000000
Tim David,Overseas,All-Rounder,Mumbai Indians,2022,TATA,82500000
Ramandeep Singh,Indian,All-Rounder,Mumbai Indians,2022,TATA,2000000
Aryan Juyal,Indian,Wicket Keeper,Mumbai Indians,2022,TATA,2000000
Fabian Allen,Overseas,All-Rounder,Mumbai Indians,2022,TATA,7500000
Riley Meredith,Overseas,Bowler,Mumbai Indians,2022,TATA,10000000
Rahul Buddhi,Indian,Batsman,Mumbai Indians,2022,TATA,2000000
Hrithik Shokeen,Indian,All-Rounder,Mumbai Indians,2022,TATA,2000000
Mohd. Arshad Khan,Indian,All-Rounder,Mumbai Indians,2022,TATA,2000000
Arjun Tendulkar,Indian,All-Rounder,Mumbai Indians,2022,TATA,3000000
Shikhar Dhawan,Indian,Batsman,Punjab Kings,2022,TATA,82500000
Kagiso Rabada,Overseas,Bowler,Punjab Kings,2022,TATA,92500000
Jonny Bairstow,Overseas,Wicket Keeper,Punjab Kings,2022,TATA,67500000
Rahul Chahar,Indian,Bowler,Punjab Kings,2022,TATA,52500000
Harpreet Brar,Indian,All-Rounder,Punjab Kings,2022,TATA,38000000
Shahrukh Khan,Indian,All-Rounder,Punjab Kings,2022,TATA,90000000
Jitesh Sharma,Indian,Wicket Keeper,Punjab Kings,2022,TATA,2000000
Prabhsimran Singh,Indian,Wicket Keeper,Punjab Kings,2022,TATA,6000000
Ishan Porel,Indian,Bowler,Punjab Kings,2022,TATA,2500000
Liam Livingstone,Overseas,All-Rounder,Punjab Kings,2022,TATA,115000000
Odean Smith,Overseas,All-Rounder,Punjab Kings,2022,TATA,60000000
Sandeep Sharma,Indian,Bowler,Punjab Kings,2022,TATA,5000000
Raj Angad Bawa,Indian,All-Rounder,Punjab Kings,2022,TATA,20000000
Rishi Dhawan,Indian,All-Rounder,Punjab Kings,2022,TATA,5500000
Nathan Ellis,Overseas,Bowler,Punjab Kings,2022,TATA,7500000
Prerak Mankad,Indian,All-Rounder,Punjab Kings,2022,TATA,2000000
Atharva Taide,Indian,All-Rounder,Punjab Kings,2022,TATA,2000000
Vaibhav Arora,Indian,Bowler,Punjab Kings,2022,TATA,20000000
Bhanuka Rajapaksa,Overseas,Batsman,Punjab Kings,2022,TATA,5000000
Benny Howell,Overseas,All-Rounder,Punjab Kings,2022,TATA,4000000
Writtick Chatterjee,Indian,All-Rounder,Punjab Kings,2022,TATA,2000000
Baltej Dhanda,Indian,Bowler,Punjab Kings,2022,TATA,2000000
Ansh Patel,Indian,All-Rounder,Punjab Kings,2022,TATA,2000000
R. Ashwin,Indian,All-Rounder,Rajasthan Royals,2022,TATA,50000000
Trent Boult,Overseas,Bowler,Rajasthan Royals,2022,TATA,80000000
Shimron Hetmyer,Overseas,Batsman,Rajasthan Royals,2022,TATA,85000000
Devdutt Padikkal,Indian,Batsman,Rajasthan Royals,2022,TATA,77500000
Prasidh Krishna,Indian,Bowler,Rajasthan Royals,2022,TATA,100000000
Yuzvendra Chahal,Indian,Bowler,Rajasthan Royals,2022,TATA,65000000
Riyan Parag,Indian,All-Rounder,Rajasthan Royals,2022,TATA,38000000
K.C Cariappa,Indian,Bowler,Rajasthan Royals,2022,TATA,3000000
James Neesham,Overseas,All-Rounder,Rajasthan Royals,2022,TATA,15000000
Nathan Coulter-Nile,Overseas,Bowler,Rajasthan Royals,2022,TATA,20000000
Navdeep Saini,Indian,Bowler,Rajasthan Royals,2022,TATA,26000000
Kuldeep Sen,Indian,Bowler,Rajasthan Royals,2022,TATA,2000000
Karun Nair,Indian,Batsman,Rajasthan Royals,2022,TATA,14000000
Rassie Van Der Dussen,Overseas,Batsman,Rajasthan Royals,2022,TATA,10000000
Daryl Mitchell,Overseas,All-Rounder,Rajasthan Royals,2022,TATA,7500000
Obed Mccoy,Overseas,Bowler,Rajasthan Royals,2022,TATA,7500000
Dhruv Jurel,Indian,Wicket Keeper,Rajasthan Royals,2022,TATA,2000000
Tejas Baroka,Indian,Bowler,Rajasthan Royals,2022,TATA,2000000
Kuldip Yadav,Indian,Bowler,Rajasthan Royals,2022,TATA,2000000
Shubham Garhwal,Indian,All-Rounder,Rajasthan Royals,2022,TATA,2000000
Anunay Singh,Indian,All-Rounder,Rajasthan Royals,2022,TATA,2000000
Faf Du Plessis,Overseas,Batsman,Royal Challengers Bangalore,2022,TATA,70000000
Wanindu Hasaranga,Overseas,All-Rounder,Royal Challengers Bangalore,2022,TATA,107500000
Harshal Patel,Indian,All-Rounder,Royal Challengers Bangalore,2022,TATA,107500000
Dinesh Karthik,Indian,Wicket Keeper,Royal Challengers Bangalore,2022,TATA,55000000
Josh Hazlewood,Overseas,Bowler,Royal Challengers Bangalore,2022,TATA,77500000
Shahbaz Ahamad,Indian,All-Rounder,Royal Challengers Bangalore,2022,TATA,24000000
Anuj Rawat,Indian,Wicket Keeper,Royal Challengers Bangalore,2022,TATA,34000000
Akash Deep,Indian,Bowler,Royal Challengers Bangalore,2022,TATA,2000000
Karn Sharma,Indian,Bowler,Royal Challengers Bangalore,2022,TATA,5000000
Mahipal Lomror,Indian,All-Rounder,Royal Challengers Bangalore,2022,TATA,9500000
Finn Allen,Overseas,Batsman,Royal Challengers Bangalore,2022,TATA,8000000
Sherfane Rutherford,Overseas,All-Rounder,Royal Challengers Bangalore,2022,TATA,10000000
Jason Behrendorff,Overseas,Bowler,Royal Challengers Bangalore,2022,TATA,7500000
Siddharth Kaul,Indian,Bowler,Royal Challengers Bangalore,2022,TATA,7500000
Suyash Prabhudessai,Indian,All-Rounder,Royal Challengers Bangalore,2022,TATA,3000000
Luvnith Sisodia,Indian,Wicket Keeper,Royal Challengers Bangalore,2022,TATA,2000000
Chama Milind,Indian,Bowler,Royal Challengers Bangalore,2022,TATA,2500000
Aneeshwar Gautam,Indian,All-Rounder,Royal Challengers Bangalore,2022,TATA,2000000
David Willey,Overseas,All-Rounder,Royal Challengers Bangalore,2022,TATA,20000000
Washington Sundar,Indian,All-Rounder,Sunrisers Hyderabad,2022,TATA,87500000
Nicholas Pooran,Overseas,Wicket Keeper,Sunrisers Hyderabad,2022,TATA,107500000
Bhuvneshwar Kumar,Indian,Bowler,Sunrisers Hyderabad,2022,TATA,42000000
T. Natarajan,Indian,Bowler,Sunrisers Hyderabad,2022,TATA,40000000
Priyam Garg,Indian,Batsman,Sunrisers Hyderabad,2022,TATA,2000000
Rahul Tripathi,Indian,Batsman,Sunrisers Hyderabad,2022,TATA,85000000
Abhishek Sharma,Indian,All-Rounder,Sunrisers Hyderabad,2022,TATA,65000000
Vishnu Vinod,Indian,Wicket Keeper,Sunrisers Hyderabad,2022,TATA,5000000
Kartik Tyagi,Indian,Bowler,Sunrisers Hyderabad,2022,TATA,40000000
Shreyas Gopal,Indian,Bowler,Sunrisers Hyderabad,2022,TATA,7500000
Jagadeesha Suchith,Indian,Bowler,Sunrisers Hyderabad,2022,TATA,2000000
Aiden Markram,Overseas,Batsman,Sunrisers Hyderabad,2022,TATA,26000000
Marco Jansen,Overseas,All-Rounder,Sunrisers Hyderabad,2022,TATA,42000000
Romario Shepherd,Overseas,All-Rounder,Sunrisers Hyderabad,2022,TATA,77500000
Glenn Phillips,Overseas,Wicket Keeper,Sunrisers Hyderabad,2022,TATA,15000000
Fazalhaq Farooqi,Overseas,Bowler,Sunrisers Hyderabad,2022,TATA,5000000
Sean Abbott,Overseas,Bowler,Sunrisers Hyderabad,2022,TATA,24000000
R Samarth,Indian,Batsman,Sunrisers Hyderabad,2022,TATA,2000000
Shashank Singh,Indian,All-Rounder,Sunrisers Hyderabad,2022,TATA,2000000
Saurabh Dubey,Indian,Bowler,Sunrisers Hyderabad,2022,TATA,2000000
Krishnappa Gowtham,,All-Rounder,Chennai Super Kings,2021,VIVO,92500000
Moeen Ali,,All-Rounder,Chennai Super Kings,2021,VIVO,70000000
Cheteshwar Pujara,,Batsman,Chennai Super Kings,2021,VIVO,5000000
K.Bhagath Varma,,All-Rounder,Chennai Super Kings,2021,VIVO,2000000
C Hari Nishaanth,,Batsman,Chennai Super Kings,2021,VIVO,2000000
M. Harisankar Reddy,,Bowler,Chennai Super Kings,2021,VIVO,2000000
Tom Curran,,All-Rounder,Delhi Capitals,2021,VIVO,52500000
Steven Smith,,Batsman,Delhi Capitals,2021,VIVO,22000000
Sam Billings,,Wicket Keeper,Delhi Capitals,2021,VIVO,20000000
Umesh Yadav,,Bowler,Delhi Capitals,2021,VIVO,10000000
Ripal Patel,,All-Rounder,Delhi Capitals,2021,VIVO,2000000
Vishnu Vinod,,Wicket Keeper,Delhi Capitals,2021,VIVO,2000000
Lukman Hussain Meriwala,,Bowler,Delhi Capitals,2021,VIVO,2000000
M Siddharth,,Bowler,Delhi Capitals,2021,VIVO,2000000
Shakib Al Hasan,,All-Rounder,Kolkata Knight Riders,2021,VIVO,32000000
Harbhajan Singh,,Bowler,Kolkata Knight Riders,2021,VIVO,20000000
Ben Cutting,,All-Rounder,Kolkata Knight Riders,2021,VIVO,7500000
Karun Nair,,Batsman,Kolkata Knight Riders,2021,VIVO,5000000
Pawan Negi,,All-Rounder,Kolkata Knight Riders,2021,VIVO,5000000
Venkatesh Iyer,,All-Rounder,Kolkata Knight Riders,2021,VIVO,2000000
Sheldon Jackson,,Wicket Keeper,Kolkata Knight Riders,2021,VIVO,2000000
Vaibhav Arora,,Bowler,Kolkata Knight Riders,2021,VIVO,2000000
Nathan Coulter-Nile,,Bowler,Mumbai Indians,2021,VIVO,50000000
Adam Milne,,Bowler,Mumbai Indians,2021,VIVO,32000000
Piyush Chawla,,Bowler,Mumbai Indians,2021,VIVO,24000000
James Neesham,,All-Rounder,Mumbai Indians,2021,VIVO,5000000
Yudhvir Charak,,All-Rounder,Mumbai Indians,2021,VIVO,2000000
Marco Jansen,,All-Rounder,Mumbai Indians,2021,VIVO,2000000
Arjun Tendulkar,,All-Rounder,Mumbai Indians,2021,VIVO,2000000
Jhye Richardson,,Bowler,Punjab Kings,2021,VIVO,140000000
Riley Meredith,,Bowler,Punjab Kings,2021,VIVO,80000000
Shahrukh Khan,,All-Rounder,Punjab Kings,2021,VIVO,52500000
Moises Henriques,,All-Rounder,Punjab Kings,2021,VIVO,42000000
Dawid Malan,,All-Rounder,Punjab Kings,2021,VIVO,15000000
Fabian Allen,,All-Rounder,Punjab Kings,2021,VIVO,7500000
Jalaj Saxena,,All-Rounder,Punjab Kings,2021,VIVO,3000000
Saurabh Kumar,,All-Rounder,Punjab Kings,2021,VIVO,2000000
Utkarsh Singh,,All-Rounder,Punjab Kings,2021,VIVO,2000000
Christopher Morris,,All-Rounder,Rajasthan Royals,2021,VIVO,162500000
Shivam Dube,,All-Rounder,Rajasthan Royals,2021,VIVO,44000000
Chetan Sakariya,,Bowler,Rajasthan Royals,2021,VIVO,12000000
Mustafizur Rahman,,Bowler,Rajasthan Royals,2021,VIVO,10000000
Liam Livingstone,,All-Rounder,Rajasthan Royals,2021,VIVO,7500000
K.C Cariappa,,Bowler,Rajasthan Royals,2021,VIVO,2000000
Akash Singh,,Bowler,Rajasthan Royals,2021,VIVO,2000000
Kuldip Yadav,,Bowler,Rajasthan Royals,2021,VIVO,2000000
Kyle Jamieson,,All-Rounder,Royal Challengers Bangalore,2021,VIVO,150000000
Glenn Maxwell,,All-Rounder,Royal Challengers Bangalore,2021,VIVO,142500000
Dan Christian,,All-Rounder,Royal Challengers Bangalore,2021,VIVO,48000000
Sachin Baby,,Batsman,Royal Challengers Bangalore,2021,VIVO,2000000
Rajat Patidar,,Batsman,Royal Challengers Bangalore,2021,VIVO,2000000
Mohammed Azharudeen,,Wicket Keeper,Royal Challengers Bangalore,2021,VIVO,2000000
Suyash Prabhudesai,,All-Rounder,Royal Challengers Bangalore,2021,VIVO,2000000
Kona Srikar Bharat,,Wicket Keeper,Royal Challengers Bangalore,2021,VIVO,2000000
Kedar Jadhav,,All-Rounder,Sunrisers Hyderabad,2021,VIVO,20000000
Mujeeb Zadran,,Bowler,Sunrisers Hyderabad,2021,VIVO,15000000
J Suchith,,Bowler,Sunrisers Hyderabad,2021,VIVO,3000000
Piyush Chawla,,Bowler,Chennai Super Kings,2020,VIVO,67500000
Sam Curran,,All-Rounder,Chennai Super Kings,2020,VIVO,55000000
Josh Hazlewood,,Bowler,Chennai Super Kings,2020,VIVO,20000000
R. Sai Kishore,,Bowler,Chennai Super Kings,2020,VIVO,2000000
Shimron Hetmyer,,Batsman,Delhi Capitals,2020,VIVO,77500000
Marcus Stoinis,,All-Rounder,Delhi Capitals,2020,VIVO,48000000
Alex Carey,,Wicket Keeper,Delhi Capitals,2020,VIVO,24000000
Jason Roy,,Batsman,Delhi Capitals,2020,VIVO,15000000
Chris Woakes,,All-Rounder,Delhi Capitals,2020,VIVO,15000000
Mohit Sharma,,Bowler,Delhi Capitals,2020,VIVO,5000000
Tushar Deshpande,,Bowler,Delhi Capitals,2020,VIVO,2000000
Lalit Yadav,,All-Rounder,Delhi Capitals,2020,VIVO,2000000
Glenn Maxwell,,All-Rounder,Kings XI Punjab,2020,VIVO,107500000
Sheldon Cottrell,,Bowler,Kings XI Punjab,2020,VIVO,85000000
Chris Jordan,,All-Rounder,Kings XI Punjab,2020,VIVO,30000000
Ravi Bishnoi,,Bowler,Kings XI Punjab,2020,VIVO,20000000
Prabhsimran Singh,,Wicket Keeper,Kings XI Punjab,2020,VIVO,5500000
Deepak Hooda,,All-Rounder,Kings XI Punjab,2020,VIVO,5000000
James Neesham,,All-Rounder,Kings XI Punjab,2020,VIVO,5000000
Tajinder Dhillon,,All-Rounder,Kings XI Punjab,2020,VIVO,2000000
Ishan Porel,,Bowler,Kings XI Punjab,2020,VIVO,2000000
Pat Cummins,,All-Rounder,Kolkata Knight Riders,2020,VIVO,155000000
Eoin Morgan,,Batsman,Kolkata Knight Riders,2020,VIVO,52500000
Varun Chakaravarthy,,All-Rounder,Kolkata Knight Riders,2020,VIVO,40000000
Tom Banton,,Batsman,Kolkata Knight Riders,2020,VIVO,10000000
Rahul Tripathi,,Batsman,Kolkata Knight Riders,2020,VIVO,6000000
Chris Green,,All-Rounder,Kolkata Knight Riders,2020,VIVO,2000000
Nikhil Shankar Naik,,Wicket Keeper,Kolkata Knight Riders,2020,VIVO,2000000
Pravin Tambe,,Bowler,Kolkata Knight Riders,2020,VIVO,2000000
M Siddharth,,Bowler,Kolkata Knight Riders,2020,VIVO,2000000
Nathan Coulter-Nile,,Bowler,Mumbai Indians,2020,VIVO,80000000
Chris Lynn,,Batsman,Mumbai Indians,2020,VIVO,20000000
Saurabh Tiwary,,Batsman,Mumbai Indians,2020,VIVO,5000000
Digvijay Deshmukh,,All-Rounder,Mumbai Indians,2020,VIVO,2000000
Prince Balwant Rai Singh,,All-Rounder,Mumbai Indians,2020,VIVO,2000000
Mohsin Khan,,Bowler,Mumbai Indians,2020,VIVO,2000000
Robin Uthappa,,Batsman,Rajasthan Royals,2020,VIVO,30000000
Jaydev Unadkat,,Bowler,Rajasthan Royals,2020,VIVO,30000000
Yashasvi Jaiswal,,All-Rounder,Rajasthan Royals,2020,VIVO,24000000
Kartik Tyagi,,Bowler,Rajasthan Royals,2020,VIVO,13000000
Tom Curran,,All-Rounder,Rajasthan Royals,2020,VIVO,10000000
Andrew Tye,,Bowler,Rajasthan Royals,2020,VIVO,10000000
Anuj Rawat,,Wicket Keeper,Rajasthan Royals,2020,VIVO,8000000
David Miller,,Batsman,Rajasthan Royals,2020,VIVO,7500000
Oshane Thomas,,Bowler,Rajasthan Royals,2020,VIVO,5000000
Anirudha Ashok Joshi,,All-Rounder,Rajasthan Royals,2020,VIVO,2000000
Akash Singh,,Bowler,Rajasthan Royals,2020,VIVO,2000000
Christopher Morris,,All-Rounder,Royal Challengers Bangalore,2020,VIVO,100000000
Aaron Finch,,Batsman,Royal Challengers Bangalore,2020,VIVO,44000000
Kane Richardson,,Bowler,Royal Challengers Bangalore,2020,VIVO,40000000
Dale Steyn,,Bowler,Royal Challengers Bangalore,2020,VIVO,20000000
